 061 | جز آن هلیکوپتر بینشان 
 062 | رد و بدل شده است 
 063 | سرانجام ربیع کوتاه می‌آید 
 064 | هرچند نه تولدی نزدیک است 
 065 | و نه نمره رضایت بخشی در مدرسه در کار است 
 066 | که این هدیه را توجیه کند 
 067 | با این حال 
 068 | مطمئنا ساعات خوشی را 
 069 | برای ایشان به ارمغان خواهد آورد 
 070 | اما بعد از تنها شش دقیقه استفاده 
 071 | وقتی اسباب بازی 
 072 | مشغول چرخیدن بالای میز ناهار خوری است 
 073 | و ربیع کنترل آن را به دست دارد 
 074 | مشکلی در سیستم هدایت آن پیش می‌آید 
 075 | و دستگاه با یخچال تصادف می‌کند 
 076 | و پروانه‌ای عقبش میشکند 
 077 | و چند تکه می‌شود 
 078 | تقصیر مسلما 
 079 | به گردن سازندگان دستگاه است 
 080 | اما متاسفانه 
 081 | آنها در حال حاضر در آشپزخانه حضور ندارند 
 082 | در نتیجه 
 083 | ناگهان و برای چندمین بار 
 084 | این ربیع است که مایه ی ناامیدی شدید فرزندش می‌شود 
 085 | ویلیام 
 086 | که شیرینی اش حالا به حالت تعلیق درآمده 
 087 | فریاد می‌زند 
 088 | چیکار کردی؟ 
 089 | ربیع جواب می‌دهد 
 090 | هیچی خودش یه دفعه دیوونه شد 
 091 | خودش نشد تو یه کاری کردی 
 092 | باید همین حالا درستش کنی 
 093 | معلومه که دلم میخواد درستش کنم 
 094 | ولی پیچیده است 
 095 | باید دوشنبه با فروشگاه تماس بگیریم 
 096 | بابا 
 097 | این کلمه با جیغ همراه است 
 098 | عزیزم 
 099 | میدونم که حتما ناراحت شدی ولی 
 100 | تقصیر تو بود. 
 101 | اشک‌ها سرازیر می‌شوند 
 102 | و لحظه ای بعد ویلیام سعی می‌کند 
 103 | به ساق پای خلبان بی کفایت لگد بزند 
 104 | رفتار پسر بچه زننده است 
 105 | و البته کمی تعجب آور 
 106 | بابا که قصد بدی نداشت 
 107 | اما این رفتار در این موقعیت 
 108 | مثل چندین موقعیت دیگر 
 109 | به معنی قدردانی لجوجانه‌ای از ربیع 
 110 | در جایگاه پدر نیز قلمداد می‌شود 
 111 | انسان باید 
 112 | خیلی در کنار یک فرد احساس امنیت کند 
 113 | که این چنین بهانه گیر و بد قلق باشد 
 114 | قبل از اینکه بچه بتواند 
 115 | قشقرق راه بیندازد 
 116 | لازم است که بستر کاملا مهربانانه ای فراهم باشد 
 117 | خودربیع 
 118 | اصلا در کودکی 
 119 | اینقدر از پدرش بهانه نمیگرفت 
 120 | اما در عوض هیچ وقت هم 
 121 | این چنین مورد عشق و محبت پدرش 
 122 | قرار نگرفته بود 
 123 | تمام قوت قلب هایی که او و کرستن 
 124 | در این سالها داده‌اند 
 125 | همیشه کنارت هستیم 
 126 | همه احساساتت رو میتونی با ما درمیان بزاری 
 127 | با شکوه جبران شدند 
 128 | آنها ویلیام و خواهرش را تشویق کرده‌اند 
 129 | که ناراحتی ها و سر خوردگی هایشان را 
 130 | با تمام قوا 
 131 | به این دو آدم بزرگسال عاشق حواله کنند 
 132 | که نشان داده‌اند می‌توانند 
 133 | و می‌خواهند 
 134 | که به قائله ها خاتمه بدهند 
 135 | ربیع و کرستن 
 136 | با مشاهده ی عصبانیت بچه هایشان 
 137 | فرصتی پیدا می‌کنند 
 138 | تا به این موضوع توجه کنند 
 139 | که چه قدر خودشان در طول این سالها 
 140 | بدون اینکه بفهمند 
 141 | خوددار و صبور شده‌اند 
 142 | خلق و خوی نسبتا معتدل تر آنان 
 143 | میراث سال‌های پر از سر خوردگی ها ی 
 144 | کوچک و بزرگ است 
 145 | لایه های صبور ی 
 146 | در فرآیندهای ذهنی آنان 
 147 | همچون تنگه ها در مسیر جریان آب 
 148 | به زحمت ایجاد شده‌اند 
 149 | به وسیله ی تمام اتفاقات بدی 
 150 | که برایشان افتاده است 
 151 | ربیع 
 152 | وقتی بر کاغذی که در حال نوشتن رویش است 
 153 | علامت اشتباهی می‌گذارد 
 154 | قشقرق راه نمی اندازد 
 155 | زیرا او در گذشته 
 156 | شغلش را از دست داده 
 157 | مرگ مادرش را به چشم دیده 
 158 | و تجربیات تلخ بسیاری را از سر گذرانده است 
 159 | پدر و مادر خوب بودن 
 160 | با خود شرطی بسیار دشوار و مهم دارد 
 161 | اینکه همیشه 
 162 | حامل خبرهای بسیار بدی باشیم 
 163 | پدرو مادر خوب باید مدافع مجموعه ای از علایق دراز مدت بچه باشند 
 164 | که طبیعتا 
 165 | برای آنها کاملا غیرممکن است 
 166 | با آن علایق روبرو شوند 
 167 | چه برسد به اینکه 
 168 | با خوشحالی با آنها موافقت کنند 
 169 | والدین از روی عشق 
 170 | باید بخاطر تمیزی دندانها 
 171 | مشق 
 172 | اتاق مرتب زمان خواب 
 173 | بخشندگی و حد و حدود استفاده از کامپیوتر 
 174 | داد و بیداد کنند 
 175 | از روی عشق 
 176 | باید درست وقتی که خوش گذرانی دارد آغاز می‌شود 
 177 | طبق عادت تنفرانگیز و دیوانه کننده ی خود 
 178 | حقایق ناخوشایندی را 
 179 | راجع به زندگی پیش بکشند 
 180 | و قیافه ی آدمهای ضد حال را به خود بگیرند 
 181 | و در نتیجه ی 
 182 | این رفتارهای نهانی عاشقانه 
 183 | والدین خوب 
 184 | باید اگر همه چیز خوب پیشرفت 
 185 | به طور ویژه 
 186 | هدف تنفر و خشم شدید قرار بگیرند 
 187 | با اینکه رساندن این پیام ها 
 188 | ممکن است سخت باشد 
 189 | ربیع و کرستن تعهد می‌کنند 
 190 | با ملایمت آنها را بازگو کنند 
 191 | فقط پنج دقیقه ی دیگه بازی می‌کنی 
 192 | و بعد بازی تمومه باشه 
 193 | وقت حمام پرنسس استره 
 194 | حتما این موضوع 
 195 | باعث ناراحتیت شده 
 196 | ولی ما آدمایی رو که با همون مخالفت میکنن نمیزنیم 
 197 | یادت میمونه 
 198 | آن‌ها می‌خواهند 
 199 | با زبان خوش و چاپلوسی 
 200 | متقاعدشان کنند 
 201 | اما آنچه اهمیت دارد 
 202 | این است که هرگز نمی خواهند 
 203 | با استفاده از زور 
 204 | یا سلاحهای روانشناختی ابتدایی 
 205 | نتیجه دلخواه شان را تحمیل کنند 
 206 | مثلا با یادآوری اینکه 
 207 | چه کسی بزرگ‌تر است 
 208 | یا سنش بیشتر است 
 209 | و پولدارتر است 
 210 | و بنابراین 
 211 | کنترل و لپ تاپ باید در اختیار او باشد 
 212 | چون من مادرتم 
 213 | چون بابات اینو گفته 
 214 | دورانی بود که این جمله‌های منطقی 
 215 | به تنهایی اطاعت به دنبال داشتند 
 216 | اما معنای واژه ها 
 217 | در این دوران پر از مهربانی ما 
 218 | تغییر کرده است 
 219 | به گونه‌ای که پدر و مادر 
 220 | اکنون فقط افرادی 
 221 | اند که 
 222 | اینو برام درست می‌کنند یا 
 223 | ممکنه حرفاشون رو قبول کنم 
 224 | به شرطی که 
 225 | و تنها به شرطی که چیزی که میگن 
 226 | به نظرم درست بیاد 
 227 | متاسفانه 
 228 | در شرایطی با زبان خوش حرف زدن فایده ندارد 
 229 | مثلا وقتی استر شروع می‌کند 
 230 | به مسخره کردن ویلیام 
 231 | بخاطر یکی از اعضای بدنش 
 232 | و هشدار ملایم مادرانه را 
 233 | نشنیده می‌گیرد 
 234 | او پی در پی در خانه آن را جار می‌زند 
 235 | و بعد هم کم لطفی می‌کند و همین لفظ را 
 236 | به گروهی از دوستان دخترش در مدرسه 
 237 | در گوشی می‌گوید 
 238 | پدر و مادرش 
 239 | با تدبیر تلاش می‌کنند به او توضیح دهند 
 240 | که دست انداختن ویلیام از سوی او 
 241 | تا سر حد تحقیر 
 242 | ممکن است باعث شود وقتی بزرگتر شد سختتر بتواند با زنها ارتباط برقرار کند 
 243 | اما مسلما 
 244 | این حرف هم برای خواهر ویلیام 
 245 | عجیب و غریب است 
 246 | او جواب می‌دهد که آنها هیچ چیز را درک نمی‌کنند 
 247 | و ویلیام واقعا یک عضو بیریخت در بدنش دارد 
 248 | و به همین دلیل است که همه در مدرسه 
 249 | به او میخندند 
 250 | این تقصیر دخترشان نیست که در نه سالگی نمی‌تواند 
 251 | کم کم 
 252 | برای نوع هشدار والدینش ارزش قائل شود 
 253 | و یواشکی خنده‌ای هم می‌کند 
 254 | اما هنوز هم آزاردهنده است 
 255 | وقتی استر 
 256 | با اینکه با قطعیت به او گفته شده که بس کند 
 257 | آنها را به دخالت در زندگی اش متهم می‌کند 
 258 | و عبارت ضد حال ها را 
 259 | روی تکه‌های کوچک کاغذ مینویسد 
 260 | و مثل طعمه های خرده نان 
 261 | دور تا دور خانه می‌گذارد 
 262 | این بحث با مسابقه ی فریاد زدن 
 263 | بین ربیع و این انسان کوچک خشمگین 
 264 | به پایان می‌رسد 
 265 | انسان کوچکی که فقط جایی از مغزش فاقد اتصال های عصبی خاصی است که باعث شوند او درک کند 
 266 | چه چیزی اینجا در خطر است 
 267 | ربیع می‌گوید 
 268 | چون من میگم 
 269 | چون تو نه سالته و من خیلی از تو بزرگترم 
 270 | و چیزهایی میدونم که تو نمیدونی 
 271 | و من نمیخوام تمام روز اینجا وایسم و 
 272 | با تو راجع بهش بحث کنم 
 273 | استر تهدید می‌کند 
 274 | اصلا منصفانه نیست پس منم فقط داد میزنم و داد میزنم 
 275 | تو این کارو نمی کنی خانم جوان 
 276 | تو میری طبقه بالا تو اتاقت 
 277 | اونقدر اونجا میمونه تا آماده بشی دوباره بیای پایین او 
 278 | برای شام به خونواده ملحق شی 
 279 | و مثل یک انسان متمدن رفتار کنی 
 280 | و بهم نشون بدی چه قدر مودبی 
 281 | البته برای ربیع که ذاتا از هر نوع مقابله ای خودداری می‌کند 
 282 | نامانوس است که مجبور شود 
 283 | چنین پیام ظاهرا غیر عاشقانه ی را به کسی بدهد 
 284 | که بیش از حد عاشقش است 
 285 | ما می‌خواهیم کاری کنیم 
 286 | که در 
 287 | وجود کودک صرفه جویی شود 
 288 | که یکباره 
 289 | تمام بینشی را که کسب آن 
 290 | نیازمند تجربیات مشقت بار در دراز مدت است 
 291 | به او منتقل کنیم 
 292 | اما نژاد بشر همیشه به خاطر مقاومت 
 293 | در برابر سریع به نتیجه رسیدن 
 294 | از پیشرفت باز می‌ماند 
 295 | تمایل ذاتی ما 
 296 | به کاوش مجدد 
 297 | در سیاهه ی حماقتهای پیشین بشر سبب می‌شود به عقب رانده شویم 
 298 | و بخش زیادی از عمرمان را هدر دهیم 
 299 | تا چیزی را که دیگران در گذشته 
 300 | به زحمت و مفصلا برای ما ترسیم کرده‌اند 
 301 | خودمان دریابیم 
 302 | رمانتیسم از قدیم 
 303 | نسبت به قوانین تربیت کودک 
 304 | بدگمان بوده است 
 305 | و آن قوانین را 
 306 | با روپوش ساختگی متظاهری بر می‌شمرد 
 307 | که بی جهت خوبی فطری خوشایند کودکان را 
 308 | پوشانده است 
 309 | با این حال 
 310 | بعد از آشنایی بیشتر 
 311 | با چند کودک خویشاوند 
 312 | ممکن است به تدریج نظرمان تغییر کند 
 313 | و به این نتیجه برسیم 
 314 | که تربیت در حقیقت 
 315 | دفاعی مسلم 
 316 | در برابر خطر همیشگی چیزی شبیه به بربریت است 
 317 | نیازی نیست 
 318 | تربیت اسباب سردی و سادیسم را فراهم کند 
 319 | بلکه فقط راهی است 
 320 | که به ما بیاموزد 
 321 | لگام خلقیات وحشیانه مان را 
 322 | درون خود محفوظ نگه داریم 
 323 | مبادا تمام وعده‌های شام گاهی 
 324 | به هرج و مرج تنزل پیدا کند 
  | undefined 
